,GEOID,year,m_income,m_inc_group,med3_over_total,m_rent,m_rent_group,med3_rent,m_own,m_own_group,med3_own,perc_white,perc_poverty,perc_o25_ed,owner_occ,rent_occ,rent_vac,temp_vac,other_vac
1985,14000US36081116300,2012,33617.0,5,0.24191229331416247,1322.0,18,0.7373333333333333,405100.0,20,0.4279379157427938,0.09501855391881255,0.26779295470884257,0.3471915081822203,0.15567828788401794,0.8046254746289265,0.016223679668622714,0.0,0.02347255781843286
1986,14000US36081116700,2012,50417.0,9,0.22585924713584288,1438.0,18,0.865979381443299,471100.0,20,0.5123152709359606,0.07904509283819629,0.1309328968903437,0.3537563822027717,0.30757575757575756,0.6181818181818182,0.0,0.013636363636363636,0.06060606060606061
1987,14000US36081117100,2012,52202.0,9,0.2130479102956167,1218.0,17,0.534621578099839,721800.0,21,0.760932944606414,0.1708043694141013,0.24464831804281345,0.47603383458646614,0.3161290322580645,0.5880184331797235,0.035944700460829496,0.0,0.059907834101382486
1988,14000US36081117500,2012,59491.0,9,0.25508607198748046,1492.0,18,0.8160813308687616,602200.0,21,0.6759708737864077,0.31715976331360946,0.09441836202399582,0.70817019055077,0.3959634790965882,0.5252282556463239,0.035559827006247,0.024026910139356077,0.019221528111484865
1989,14000US36081118100,2012,58958.0,9,0.2857142857142857,1446.0,18,0.7752442996742671,613600.0,21,0.8711864406779661,0.3624091381100727,0.07807308970099668,0.4668697638994669,0.4351032448377581,0.4528023598820059,0.09292035398230089,0.0,0.019174041297935103
1990,14000US36081118500,2012,53287.0,9,0.2616033755274262,1558.0,19,0.6893382352941176,641700.0,21,0.9074074074074074,0.24023886081763896,0.1209563994374121,0.4894162924951892,0.22252747252747251,0.7541208791208791,0.023351648351648352,0.0,0.0
1991,14000US36081118700,2012,57973.0,9,0.37623762376237624,1380.0,18,0.7243401759530792,700600.0,21,0.7384259259259259,0.13716295427901523,0.09653465346534654,0.4494441503440974,0.5148986889153755,0.44815256257449343,0.03694874851013111,0.0,0.0
1992,14000US36081118900,2012,59129.0,9,0.19846350832266324,1393.0,18,0.8831168831168831,790300.0,22,0.8789473684210526,0.08253290643898968,0.19206145966709348,0.4834941594718131,0.4708798017348203,0.4969021065675341,0.012391573729863693,0.0,0.01982651796778191
1993,14000US36081119100,2012,55486.0,9,0.28481581311769993,1595.0,19,0.8647260273972602,689200.0,21,0.8706563706563707,0.2118847539015606,0.11859838274932614,0.5027689873417721,0.43602693602693604,0.5008417508417509,0.03872053872053872,0.0,0.02441077441077441
1994,14000US36081119300,2012,50417.0,9,0.15489130434782608,1259.0,18,0.7585301837270341,648100.0,21,0.9636363636363636,0.33250311332503113,0.17391304347826086,0.5889029003783102,0.416141235813367,0.5119798234552333,0.0201765447667087,0.044136191677175286,0.007566204287515763
